"","percent.FFPE","signature","sens","spec","acc"
"168","50%","SBS8",0.942546691157944,0.948763999337128,NA
"169","50%","SBS84",0.732307869035244,0.792175477849499,NA
"170","50%","SBS85",0.965733091359006,0.92785568686644,NA
"171","50%","SBS86",0.909783993152304,0.976145264313213,NA
"172","50%","SBS87",0.926582562835208,0.911662473298642,NA
"173","50%","SBS88",0.970402121732235,0.978412433557026,NA
"174","50%","SBS89",0.847540060394738,0.923783363520188,NA
"175","50%","SBS9",0.904142354750446,0.983427413397848,NA
"176","50%","SBS90",0.990036061009485,0.948300439590357,NA
"177","50%","SBS91",0.915433798680257,0.93526591392719,NA
"178","50%","SBS92",0.734073137391059,0.95866060611735,NA
"179","50%","SBS93",0.885333515843943,0.975701298944321,NA
"180","50%","SBS94",0.79617986292817,0.964862805076416,NA
"181","70%","SBS1",0.96622192014264,0.878435920028816,NA
"182","70%","SBS10a",0.90645032467981,0.987899105825336,NA
"183","70%","SBS10b",0.841311656600406,0.896339381818071,NA
"184","70%","SBS10c",0.873732351460244,0.986431935519837,NA
"185","70%","SBS10d",0.954681340279451,0.987051779980322,NA
"186","70%","SBS11",0.358686192250913,0.850199927874926,NA
"187","70%","SBS12",0.961245856251976,0.955104763905528,NA
"188","70%","SBS13",0.96294341531519,0.962999850700017,NA
"189","70%","SBS14",0.894854473004828,0.983823140084618,NA
"190","70%","SBS15",0.752683586174902,0.897621538321717,NA
"191","70%","SBS16",0.920065095104229,0.952510087594097,NA
"192","70%","SBS17a",0.993333333333333,0.990654612944012,NA
"193","70%","SBS17b",0.990564762067903,0.991038413440101,NA
"194","70%","SBS18",0.85716037936438,0.987531630070406,NA
"195","70%","SBS19",0.406162671923732,0.89620013101098,NA
"196","70%","SBS2",0.895338072437421,0.786936879951654,NA
"197","70%","SBS20",0.706711205295663,0.967202618358017,NA
"198","70%","SBS21",0.947769440450698,0.968247905861454,NA
"199","70%","SBS22",0.983333333333333,0.988978979063985,NA
"200","70%","SBS23",0.550033871287415,0.802774185163673,NA
"201","70%","SBS24",0.803904045144123,0.983428876707236,NA
"202","70%","SBS25",0.831422934489315,0.985750870758893,NA
"203","70%","SBS26",0.957937750268147,0.989375565734669,NA
"204","70%","SBS28",0.968738816776059,0.9847055621189,NA
"205","70%","SBS29",0.898335555322444,0.986799040904496,NA
"206","70%","SBS3",0.84998219919664,0.970866019853574,NA
"207","70%","SBS30",0.21212335587614,0.922558936182314,NA
"208","70%","SBS31",0.732021789231028,0.894842956144186,NA
"209","70%","SBS32",0.527653021850345,0.841720606529618,NA
"210","70%","SBS33",0.926917928625296,0.989504583887502,NA
"211","70%","SBS34",0.963407998187008,0.986221246842692,NA
"212","70%","SBS35",0.853171113697581,0.95608530355168,NA
"213","70%","SBS36",0.897473600336549,0.986306480693852,NA
"214","70%","SBS37",0.939820769501209,0.987513296729234,NA
"215","70%","SBS38",0.939627043788052,0.98888993983636,NA
"216","70%","SBS39",0.89582966008037,0.988493451619016,NA
"217","70%","SBS4",0.912667553775055,0.971218325485283,NA
"218","70%","SBS40",0.791043643992815,0.972316590320557,NA
"219","70%","SBS41",0.887151314439855,0.983320203150567,NA
"220","70%","SBS42",0.667376592166507,0.925268539886218,NA
"221","70%","SBS44",0.555997463266749,0.975024942318694,NA
"222","70%","SBS5",0.701832739995215,0.987355828220913,NA
"223","70%","SBS6",0.612932165885145,0.872323912790295,NA
"224","70%","SBS7a",0.665067431481401,0.821012878816003,NA
"225","70%","SBS7b",0.455308050181059,0.861170104091659,NA
"226","70%","SBS7c",0.921833262277144,0.986284982352478,NA
"227","70%","SBS7d",0.855417838868096,0.965637789794113,NA
"228","70%","SBS8",0.943773809034159,0.952196503784876,NA
"229","70%","SBS84",0.621851858153597,0.901761657732097,NA
"230","70%","SBS85",0.963024420875211,0.938399084115589,NA
"231","70%","SBS86",0.901709928962196,0.978176989913726,NA
"232","70%","SBS87",0.903497989849065,0.927774748360999,NA
"233","70%","SBS88",0.968956215556787,0.98883653796395,NA
"234","70%","SBS89",0.842146795993961,0.940759611116245,NA
"235","70%","SBS9",0.891724403398612,0.990570077831511,NA
"236","70%","SBS90",0.988390507694285,0.950379646634887,NA
"237","70%","SBS91",0.923417592630183,0.941949598932298,NA
"238","70%","SBS92",0.722892516847889,0.967534594232358,NA
"239","70%","SBS93",0.909373728603858,0.984417807978204,NA
"240","70%","SBS94",0.781494862066435,0.983882656758626,NA
"241","90%","SBS1",0.743315752059511,0.947617005936261,NA
"242","90%","SBS10a",0.937211768402313,0.990582836933285,NA
"243","90%","SBS10b",0.770966842827016,0.95437274524546,NA
"244","90%","SBS10c",0.880763779591982,0.990166083183343,NA
"245","90%","SBS10d",0.955048731502638,0.991229793584622,NA
"246","90%","SBS11",0.0793785663054399,0.967683158686797,NA
"247","90%","SBS12",0.965012387387551,0.954264048761315,NA
